date,current,wind,salinity,temperature,u,v
2012-03-26,0.41578907,11.396827,35.395416,25.64094,-0.30151314,0.12640907
2012-03-27,0.3185723,10.750295,35.351242,25.577024,-0.21100006,0.09657135
2012-03-28,0.296831,10.997324,35.328236,25.562662,-0.20698698,0.092076905
2012-03-29,0.28955984,10.521747,35.305847,25.568443,-0.19843143,0.10868916
2012-03-30,0.3116455,10.83625,35.285152,25.617123,-0.20284185,0.14212504
2012-03-31,0.30080357,10.449176,35.26158,25.688013,-0.21466924,0.112902686
2012-04-01,0.28300902,9.306423,35.25036,25.678158,-0.1500002,0.08381304
2012-04-02,0.29149505,8.309939,35.250412,25.642069,-0.020875007,0.062175654
2012-04-03,0.34176978,4.999746,35.260887,25.643486,0.06261564,0.022637699
2012-04-04,0.3857796,7.5051317,35.274162,25.603363,0.02415118,0.065791875
2012-04-05,0.44061083,7.730835,35.27844,25.535187,-0.084165506,0.0636082
2012-04-06,0.45566222,7.428399,35.27863,25.418299,-0.092874356,0.05782854
2012-04-07,0.4501393,6.050813,35.280384,25.318031,-0.06889895,0.053588007
2012-04-08,0.45649868,7.475112,35.27844,25.255466,-0.11130235,0.08786608
2012-04-09,0.4036839,4.172405,35.275963,25.182827,-0.07688555,0.054721393
2012-04-10,0.40017033,6.468508,35.276962,25.20175,-0.107456796,0.1181281
2012-04-11,0.51884526,12.860749,35.276096,25.050508,-0.3435524,0.19842984
2012-04-12,0.49803388,12.678186,35.253967,24.941977,-0.37970772,0.18219802
2012-04-13,0.44484475,11.794361,35.229836,25.29923,-0.35895082,0.09504246
2012-04-14,0.2529415,10.250568,35.235603,25.49555,-0.16789389,-0.00192795
2012-04-15,0.2783514,8.874018,35.242847,25.459856,0.044582907,-0.03452203
2012-04-16,0.3153373,7.5740957,35.24075,25.39414,0.092456594,-0.01789193
2012-04-17,0.326397,4.5980105,35.222893,25.34272,0.095740825,-0.02053525
2012-04-18,0.33454484,5.137201,35.21236,25.28055,0.047405515,-0.014362825
2012-04-19,0.3343927,5.0352306,35.235786,25.237614,0.078490734,-0.019896926
2012-04-20,0.35511196,4.367017,35.242126,25.195663,0.12459172,-0.011059809
2012-04-21,0.35090914,3.6943932,35.24683,25.180752,0.07876238,0.026385281
2012-04-22,0.3392724,3.1989918,35.25108,25.178963,0.002610216,0.032754503
2012-04-23,0.33309576,4.1649303,35.254284,25.147285,-0.017425371,9.254367e-05
2012-04-24,0.26612496,4.5216656,35.214718,25.105034,0.106069915,-0.028977277
2012-04-25,0.31800738,6.0477805,35.250942,25.101059,0.06507611,0.0919956
2012-04-26,0.3103568,7.2862906,35.262672,25.007818,0.0052059824,0.07898992
2012-04-27,0.2756107,7.547218,35.26669,24.86059,-0.04767892,0.019985748
2012-04-28,0.33304307,10.180761,35.223774,24.679811,-0.11954937,0.16432083
2012-04-29,0.3014137,6.7669544,35.23027,24.612467,-0.09487044,0.11105119
2012-04-30,0.37973392,10.536739,35.23251,24.586578,-0.2588185,0.13058987
2012-05-01,0.29561633,9.657741,35.23627,24.640142,-0.17839971,0.048290092
2012-05-02,0.33983383,8.008487,35.23746,24.671816,-0.06393189,0.020415362
2012-05-03,0.3942505,8.61043,35.23893,24.628885,-0.067799464,0.041235816
2012-05-04,0.4332188,9.057782,35.237465,24.563416,-0.087313294,0.0794246
2012-05-05,0.44847593,5.750417,35.23905,24.516857,-0.06616765,0.06383906
